camera,frame,timestamp,obj_id,class,x_center,y_center,in_alert_zone
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,0,0.0,1,person,61,990,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,0,0.0,2,person,337,987,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,0,0.0,3,couch,690,1142,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,1,0.04,1,person,60,991,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,1,0.04,2,person,339,935,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,1,0.04,3,person,691,1137,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,2,0.07,1,person,59,991,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,2,0.07,2,person,342,972,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,2,0.07,3,person,692,1136,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,3,0.11,1,person,58,991,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,3,0.11,2,person,343,942,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,3,0.11,3,person,692,1135,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,4,0.14,1,person,56,992,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,4,0.14,2,person,345,929,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,4,0.14,3,person,693,1134,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,5,0.18,1,person,55,993,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,5,0.18,2,person,346,924,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,5,0.18,3,person,695,1133,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,6,0.22,1,person,55,993,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,6,0.22,2,person,347,922,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,6,0.22,3,person,696,1132,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,7,0.25,1,person,54,995,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,7,0.25,2,person,353,923,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,7,0.25,3,person,698,1134,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,8,0.29,1,person,52,998,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,8,0.29,2,person,360,923,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,9,0.33,1,person,52,999,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,9,0.33,2,person,362,924,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,10,0.36,1,person,51,1001,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,10,0.36,2,person,367,924,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,11,0.4,1,person,50,1004,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,11,0.4,2,person,373,924,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,12,0.43,1,person,49,1006,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,12,0.43,2,person,378,924,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,13,0.47,1,person,49,1007,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,13,0.47,2,person,380,924,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,14,0.51,1,person,48,1010,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,14,0.51,2,person,385,923,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,15,0.54,1,person,47,1011,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,15,0.54,2,person,387,923,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,16,0.58,1,person,46,1013,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,16,0.58,2,person,389,923,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,17,0.62,1,person,46,1014,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,17,0.62,2,person,394,920,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,18,0.65,1,person,46,1014,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,18,0.65,2,person,396,920,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,19,0.69,1,person,45,1013,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,19,0.69,2,person,402,919,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,20,0.72,1,person,45,1011,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,20,0.72,2,person,407,919,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,21,0.76,1,person,45,1008,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,21,0.76,2,person,411,917,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,22,0.8,1,person,45,1008,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,22,0.8,2,person,413,916,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,23,0.83,1,person,45,1006,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,23,0.83,2,person,418,915,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,24,0.87,1,person,45,1003,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,24,0.87,2,person,423,915,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,25,0.9,1,person,45,1002,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,25,0.9,2,person,427,915,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,26,0.94,1,person,44,1000,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,26,0.94,2,person,431,916,False
CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,27,0.98,1,person,44,998,False
